year,0_team,1_team,winner_id
2013,boise state,ut martin,0
2013,mississippi state,alcorn,0
2013,delaware,delaware state,0
2013,youngstown state,morehead state,0
2013,california,portland state,0
2013,bucknell,marist,0
2013,colgate,ualbany,1
2013,fordham,villanova,0
2013,nc state,richmond,0
2013,akron,james madison,0
2013,jackson state,alabama state,0
2013,georgetown,davidson,0
2013,lafayette,sacred heart,1
2013,coastal carolina,furman,0
2013,the citadel,wofford,1
2013,marshall,gardnerwebb,0
2013,jacksonville state,jacksonville,0
2013,massachusetts,eastern ill,1
2013,kansas,south dakota,0
2013,north dakota,south dakota state,1
2013,liberty,monmouth,0
2013,south fla,grambling,0
2013,northwestern state,southern u,0
2013,arkansas,samford,0
2013,texas state,prairie view,0
2013,william  mary,hampton,0
2013,western mich,nicholls,1
2013,vanderbilt,austin peay,0
2013,smu,montana state,0
2013,mcneese,arkpine bluff,0
2013,nevada,uc davis,0
2013,fresno state,cal poly,0
2013,robert morris,dayton,1
2013,new hampshire,colgate,0
2013,charlotte,north carolina,1
2013,minnesota,western ill,0
2013,furman,presbyterian,0
2013,jacksonville,morehead state,0
2013,temple,fordham,1
2013,monmouth,lehigh,1
2013,florida am,samford,1
2013,michigan state,youngstown state,0
2013,alcorn,mississippi val,0
2013,buffalo,stony brook,0
2013,maine,bryant,0
2013,navy,delaware,0
2013,colorado state,cal poly,0
2013,western caro,the citadel,1
2013,syracuse,wagner,0
2013,wyoming,northern colo,0
2013,arkpine bluff,alabama state,1
2013,fiu,bethunecookman,1
2013,old dominion,howard,0
2013,georgetown,marist,1
2013,hampton,tennessee tech,1
2013,south carolina state,alabama am,0
2013,campbell,charleston so,1
2013,chattanooga,austin peay,0
2013,lafayette,william  mary,1
2013,central conn state,holy cross,1
2013,gardnerwebb,richmond,0
2013,eastern ky,coastal carolina,1
2013,washington state,southern utah,0
2013,ualbany,rhode island,1
2013,jackson state,tennessee state,1
2013,southern u,prairie view,0
2013,south dakota state,southeastern la,0
2013,north dakota,montana,1
2013,eastern ill,illinois state,0
2013,murray state,missouri state,0
2013,toledo,eastern wash,0
2013,wofford,ga southern,0
2013,louisiana,nicholls,0
2013,cincinnati,northwestern state,0
2013,liberty,morgan state,0
2013,towson,delaware state,0
2013,utah state,weber state,0
2013,uc davis,niu,1
2013,jackson state,texas southern,0
2013,ohio state,florida am,0
2013,brown,georgetown,0
2013,fordham,columbia,0
2013,colgate,yale,1
2013,georgia state,jacksonville state,1
2013,ohio,austin peay,0
2013,north carolina,towson,1
2013,san diego,harvard,1
2013,samford,southeastern la,1
2013,cornell,bucknell,0
2013,uab,northwestern state,0
2013,villanova,stony brook,0
2013,washington,idaho state,0
2013,nebraska,south dakota state,0
2013,northwestern,maine,0
2013,bowling green,murray state,0
2013,virginia,vmi,0
2013,north dakota state,delaware state,0
2013,norfolk state,charleston so,1
2013,youngstown state,duquesne,0
