id,year,day,winner_tie,winner_rank,winner_points,loser_tie,loser_rank,loser_points,attendance,mvp,sponsor,bowl_name
89,2016,Tue,Western Kentucky,,51,Memphis,,31,24726.0,"Western Kentucky RB Anthony Wales, Western Kentucky LB Keith Brown",,Boca Raton Bowl
90,2015,Tue,Toledo,,32,Temple,24.0,17,25908.0,"Toledo QB Philip Ely, Toledo LB Ju'Wuan Woodley",Marmot,Boca Raton Bowl
91,2014,Tue,Marshall,,52,Northern Illinois,,23,29419.0,QB Rakeem Cato (Marshall),,Boca Raton Bowl
92,2021,Tue,Minnesota,,18,West Virginia,,6,21220.0,"Minnesota RB Ky Thomas, Minnesota S Tyler Nubin",Guaranteed Rate,Guaranteed Rate Bowl
93,2019,Fri,Air Force,24.0,31,Washington State,,21,34105.0,"Air Force RB Kadin Remsberg, Air Force LB Grant Donaldson",Cheez-It,Guaranteed Rate Bowl
94,2018,Wed,Texas Christian,,10,California,,7,33121.0,"TCU RB Sewo Olonilua, California S Jaylinn Hawkins",Cheez-It,Guaranteed Rate Bowl
95,2017,Tue,Kansas State,,35,UCLA,,17,32859.0,"Kansas State QB Alex Delton, Kansas State S Denzel Goolsby",,Guaranteed Rate Bowl
97,2015,Sat,West Virginia,,43,Arizona State,,42,39321.0,"West Virginia QB Skyler Howard, West Virginia LB Shaq Petteway",Motel 6,Guaranteed Rate Bowl
98,2014,Fri,Oklahoma State,,30,Washington,,22,35409.0,"RB Desmond Roland (Oklahoma State), LB Seth Jacobs (Oklahoma State)",,Guaranteed Rate Bowl
99,2013,Sat,Kansas State,,31,Michigan,,14,53284.0,"QB Jake Waters (KSU), WR Tyler Lockett (KSU), and S Dante Barnett (KSU)",Buffalo Wild Wings,Guaranteed Rate Bowl
124,2021,Sat,Georgia State,,51,Ball State,,20,,Georgia State QB Darren Grainger,TaxAct,Camellia Bowl
125,2020,Fri,Buffalo,,17,Marshall,,10,2512.0,Buffalo RB Kevin Marks,,Camellia Bowl
126,2019,Sat,Arkansas State,,34,Florida International,,26,16209.0,Arkansas State WR Omar Bayless,,Camellia Bowl
127,2018,Sat,Georgia Southern,,23,Eastern Michigan,,21,17710.0,Georgia Southern RB Shai Werts,Raycom Media,Camellia Bowl
128,2017,Sat,Middle Tennessee State,,35,Arkansas State,,30,20612.0,Middle Tennessee LB Darius Harris,Raycom Media,Camellia Bowl
129,2016,Sat,Appalachian State,,31,Toledo,,28,20300.0,Appalachian State QB Taylor Lamb,Raycom Media,Camellia Bowl
130,2015,Sat,Appalachian State,,31,Ohio,,29,21395.0,Appalachian State RB Marcus Cox,Raycom Media,Camellia Bowl
131,2014,Sat,Bowling Green State,,33,South Alabama,,28,20256.0,QB James Knapke (Bowling Green),Raycom Media,Camellia Bowl
133,2021,Sat,Kentucky,25.0,20,Iowa,17.0,17,50769.0,Kentucky WR Wan'Dale Robinson,Vrbo,Citrus Bowl
134,2020,Fri,Northwestern,15.0,35,Auburn,,19,15698.0,Northwestern QB Peyton Ramsey,Vrbo,Citrus Bowl
135,2019,Wed,Alabama,9.0,35,Michigan,17.0,16,59746.0,Alabama WR Jerry Jeudy,Vrbo,Citrus Bowl
136,2018,Tue,Kentucky,16.0,27,Penn State,13.0,24,59167.0,Kentucky RB Benny Snell Jr.,VRBO,Citrus Bowl
137,2017,Mon,Notre Dame,14.0,21,Louisiana State,16.0,17,57726.0,Notre Dame WR Miles Boykin,Overton's,Citrus Bowl
138,2016,Sat,Louisiana State,19.0,29,Louisville,15.0,9,46063.0,LSU RB Derrius Grace,Buffalo Wild Wings,Citrus Bowl
139,2015,Fri,Michigan,17.0,41,Florida,19.0,7,63113.0,Michigan QB Jake Rudock,Buffalo Wild Wings,Citrus Bowl
140,2014,Thu,Missouri,16.0,33,Minnesota,,17,48624.0,DL Markus Golden (Missouri),Buffalo Wild Wings,Citrus Bowl
141,2013,Wed,South Carolina,8.0,34,Wisconsin,19.0,24,56629.0,QB Connor Shaw (South Carolina),Capital One,Citrus Bowl
209,2021,Mon,Georgia,3.0,33,Alabama,1.0,18,68311.0,"Georgia QB Stetson Bennett, Georgia S Lewis Cine",,College Football Championship
210,2020,Mon,Alabama,1.0,52,Ohio State,3.0,24,14926.0,"Alabama WR DeVonta Smith, Alabama DT Christian Barmore",,College Football Championship
211,2019,Mon,Louisiana State,1.0,42,Clemson,3.0,25,76885.0,"LSU QB Joe Burrow, LSU LB Patrick Queen",,College Football Championship
212,2018,Mon,Clemson,2.0,44,Alabama,1.0,16,74814.0,"Clemson QB Trevor Lawrence, Clemson CB Trayvon Mullen, Jr.",AT&T,College Football Championship
213,2017,Mon,Alabama,4.0,26,Georgia,3.0,23,77430.0,"Alabama QB Tua Tagovailoa, Alabama DT Da'Ron Payne",AT&T,College Football Championship
214,2016,Mon,Clemson,3.0,35,Alabama,1.0,31,74512.0,"Clemson QB Deshaun Watson, Clemson LB Ben Boulware",AT&T,College Football Championship
215,2015,Mon,Alabama,2.0,45,Clemson,1.0,40,75765.0,"Alabama TE OJ Howard, Alabama SS Eddie Jackson",,College Football Championship
216,2014,Mon,Ohio State,5.0,42,Oregon,3.0,20,85689.0,"RB Ezekiel Elliott, Ohio State, S Tyvis Powell, Ohio State",AT&T,College Football Championship
217,2021,Fri,Alabama,1.0,27,Cincinnati,4.0,6,76313.0,"Alabama RB Brian Robinson, Alabama LB Will Anderson Jr.",Goodyear,Cotton Bowl
218,2020,Wed,Oklahoma,8.0,55,Florida,10.0,20,17323.0,"Oklahoma RB Rhamondre Stevenson, Oklahoma DB Tre Norwood",Goodyear,Cotton Bowl
219,2019,Sat,Penn State,13.0,53,Memphis,15.0,39,54828.0,"Penn State RB Journey Brown, Penn State LB Micah Parsons",Goodyear,Cotton Bowl
220,2018,Sat,Clemson,2.0,30,Notre Dame,3.0,3,72183.0,"Clemson QB Trevor Lawrence, Clemson DE Austin Bryant",Goodyear,Cotton Bowl
221,2017,Fri,Ohio State,5.0,24,Southern California,8.0,7,67510.0,"Ohio State QB JT Barrett, Ohio State S Damon Webb",Goodyear,Cotton Bowl
222,2016,Mon,Wisconsin,8.0,24,Western Michigan,12.0,16,59615.0,"Wisconsin TE Troy Fumagalli, Wisconsin LB T.J. Edwards",Goodyear,Cotton Bowl
223,2015,Thu,Alabama,2.0,38,Michigan State,3.0,0,82812.0,"Alabama QB Jake Coker, Alabama CB Cyrus Jones",Goodyear,Cotton Bowl
224,2014,Thu,Michigan State,7.0,42,Baylor,4.0,41,71464.0,"QB Bryce Petter (Baylor), LB Taylor Young (Baylor)",Goodyear,Cotton Bowl
225,2013,Fri,Missouri,9.0,41,Oklahoma State,13.0,31,72690.0,RB Henry Josey (Missouri),AT&T,Cotton Bowl
303,2021,Fri,Coastal Carolina,,47,Northern Illinois,,41,9784.0,Coastal Carolina QB Grayson McCall,Tailgreeter,Cure Bowl
