Turnover Rank,Team,Games,Win-Loss,Fumbles Recovered,Opponents Intercepted,Turnovers Gain,Fumbles Lost,Interceptions Thrown,Turnovers Lost,Turnover Margin,Avg Turnover Margin per Game
118,Charlotte (C-USA),12,3-9,4,9,13,7,14,21,-8,-0.67
118,Houston (AAC),12,7-5,4,7,11,9,10,19,-8,-0.67
118,West Virginia (Big 12),12,5-7,6,4,10,6,12,18,-8,-0.67
121,Texas Tech (Big 12),12,7-5,7,7,14,6,17,23,-9,-0.75
122,Stanford (Pac-12),12,3-9,5,6,11,13,8,21,-10,-0.83
123,Virginia (ACC),10,3-7,8,5,13,10,12,22,-9,-0.9
124,Auburn (SEC),12,5-7,7,6,13,12,12,24,-11,-0.92
124,Boston College (ACC),12,3-9,8,7,15,12,14,26,-11,-0.92
124,Colorado (Pac-12),12,1-11,5,6,11,12,10,22,-11,-0.92
124,Temple (AAC),12,3-9,6,6,12,11,12,23,-11,-0.92
128,Akron (MAC),12,2-10,4,9,13,14,12,26,-13,-1.08
129,Rice (C-USA),12,5-7,8,8,16,11,19,30,-14,-1.17
130,Central Mich. (MAC),12,4-8,6,4,10,18,10,28,-18,-1.5
131,Northwestern (Big Ten),12,1-11,6,6,12,14,17,31,-19,-1.58
